LOGO_URL,NAME,BRAND_CODE
https://image-resize.fetchrewards.com/brands/896a3e3e210235310f9d5e3ac21377610ce1c0c9.png,Splintek Inc.,SLEEPRIGHT
https://image-resize.fetchrewards.com/brands/c777e6ef910fceef8fe80258ed4826999cc50e92.png,Offspring Beauty Co.,VERSED
https://cdn.images.fetchrewards.com/brands/fc3b499ff27b2cb7cc395d2b0aa62bf14675896a.png,"United Natural Foods, Inc.",ESSENTIAL EVERYDAY
http://image-resize.fetchrewards.com/brands/57b16c2f762ad94db1ef7613ecff0b90fbb09d0d.png,Smokey Bones,SMOKEY BONES
http://image-resize.fetchrewards.com/brands/8471286c0de1c661b09b3fc952f541ad9c7f24c7.png,Raising Cane's,RAISING CANE'S
http://image-resize.fetchrewards.com/brands/9c92a5bed1dca88a159b234ae436286878439ee6.png,Taco Bell,TACO BELL REST
http://image-resize.fetchrewards.com/brands/7bce399f4ddd264c199e72a9d76c2b030aaf3f76.jpeg,Olive Garden,OLIVE GARDEN
http://image-resize.fetchrewards.com/brands/af79629cc65aa60f2ceaba9bd7f197e7ed99b6e2.png,Pizza Hut,PIZZA HUT
http://image-resize.fetchrewards.com/brands/68f0330c97687c9b92b5f502ef6587ebb097c507.png,Clorox National,HIDDEN VALLEY 2
http://image-resize.fetchrewards.com/brands/88d9020f74aad9be671d72632c36b9889dde01f4.jpeg,McDonalds,MCDONALDS
http://image-resize.fetchrewards.com/brands/6f834c849c749ad21c6fbd2c8ce60dd5ea20c5d3.png,Restaurants & Rewards,RESTAURANTS & REWARDS
http://image-resize.fetchrewards.com/brands/9ecb53e67c9975f39f9aa32f0ca7b18588410201.jpeg,Qdoba Mexican Eats,QDOBA
http://image-resize.fetchrewards.com/brands/d18b2b457cb915d9e6c870e571adede7d9ad40ca.png,Sonic,SONIC
https://image-resize.fetchrewards.com/brands/f3a65ce0ed0df3f2b2b34f4e38a2e2b2df19fc17.png,Sunoco,SUNOCO
https://image-resize.fetchrewards.com/brands/ba3801e1495658c52e14870c7cca1165abd512fa.png,Spindrift,SPINDRIFT
https://image-resize.fetchrewards.com/brands/f45b381743f08b3faac9f96e88f47b583b644173.png,Carolina Foods,DUCHESS
http://image-resize.fetchrewards.com/brands/7712307f94cc858d5b7b28fc7c815429d90b91e6.png,Riviana Foods,SUCCESS
https://image-resize.fetchrewards.com/brands/f8bfa8aeff2e36dfece24efb1f195b8ab1b31b56.png,Red Gold,REDPACK
https://image-resize.fetchrewards.com/brands/0022f8e1c61a198f5cd02805869b56fd5766a44b.png,Red Gold,TUTTOROSSO
https://image-resize.fetchrewards.com/brands/fb032a4513276ee93882c731496abe39727333c0.png,Red Gold,RED GOLD
https://image-resize.fetchrewards.com/brands/f37e501e43f36c6c7b97d3ee689a4355784a63ad.png,Newell Brands,SHARPIE
https://image-resize.fetchrewards.com/brands/605eb66fa6b6ef4dc4a8ee308d2aeed9bd5de5ac.png,Newell Brands,PAPER MATE
https://image-resize.fetchrewards.com/brands/6cac06b1293b09241eef0cfc7cc5e9d41ca39f0d.png,Newell Brands,ELMERS
https://image-resize.fetchrewards.com/brands/0a72e2c83f30c662782d79509d1c3c3c76ff68d9.png,Newell Brands,EXPO
https://image-resize.fetchrewards.com/brands/ce1da7fdbd4dd6cd52c3b87a7e30b01f9e5d7801.jpeg,Newell Brands,YANKEE CANDLE
https://image-resize.fetchrewards.com/brands/7d6f81cdff72708564cf8897baee1e1b61a06db5.jpeg,Newell Brands,BALL
http://image-resize.fetchrewards.com/brands/c08f530c7f97e3c872b7e133179080523d33058c.png,Trident Seafoods,LOUIS KEMP
https://image-resize.fetchrewards.com/brands/46fd27e494b399edd58798d1335e509a447db649.jpeg,Nature Nate's Honey Co.,NATURE NATE'S HONEY
https://cdn.images.fetchrewards.com/brands/be5d9238d096a9222243c8109dd9c1a6bb5b504e.png,Wild Fork,WILD FORK
https://image-resize.fetchrewards.com/brands/3db2309c7b96cd715bf8e8490223080e5c7b8708.png,Sargento,SARGENTO
http://image-resize.fetchrewards.com/brands/20125bbaead3b1a8c18ba83d2b6e73fbbedeb8ad.png,SpartanNash,FAMILY FARE SUPERMARKETS
http://image-resize.fetchrewards.com/brands/49d349788ed58d797b7c00efa150befdcfffe369.png,Party City,PARTY CITY 
http://image-resize.fetchrewards.com/brands/92a403e43218ba3ed605c5cbfc26eb6b76a6c7f3.png,Richardson Oilseed Products (US) Limited,WESSON
https://image-resize.fetchrewards.com/brands/cae722f099342235ed7f872834c020c3fb26957e.png,Perfect Keto,PERFECT KETO
http://image-resize.fetchrewards.com/brands/9c330883a209620aa90aa804ca051f7a4ce156e0.png,organicgirl,ORGANICGIRL
